phenotype,peak_value,lower_bound,upper_bound,n_patients
losartan__mean_dose,99512.97282151863,74253.34827682824,236144.578313253,512
amiloride__mean_dose,4811.122875778759,795.8115183246073,22416.71882769312,863
amiloride__mean_dose,40022.31477960748,22416.71882769312,62569.832402234635,58
rutosides__mean_dose,253089.80834530166,217993.07958477509,1621862.2300058377,195
bumetanide__mean_dose,1026.2121212121212,333.3333333333333,8484.848484848484,320
reboxetine__mean_dose,3943.4267912772584,571.4285714285714,13295.95015576324,98
levomepromazine__mean_dose,25013.377192982458,877.1929824561404,77500.0,306
haloperidol__mean_dose,1398.6510172143974,188.88888888888889,3126.8826291079804,182
haloperidol__mean_dose,4855.114241001564,3126.8826291079804,34753.52112676056,148
fluoxetine__mean_dose,19859.634204071095,3508.7719298245615,65210.13900245298,6331
mirtazapine__mean_dose,14721.69720347155,3529.4117647058824,22303.567984570873,1640
mirtazapine__mean_dose,29885.438765670195,22303.567984570873,75737.70491803279,612
furosemide__mean_dose,20058.073044761433,2763.157894736842,24999.47737333989,3207
furosemide__mean_dose,29940.881701918344,24999.47737333989,34882.2860304968,346
furosemide__mean_dose,39823.69035907525,34882.2860304968,167476.63551401868,2896
pizotifen__mean_dose,480.51405435591965,110.29411764705883,981.3998510796724,825
pizotifen__mean_dose,1482.2856478034253,981.3998510796724,4465.822784810127,950
amiodarone__mean_dose,202970.74972748192,62937.542896362385,658823.5294117647,490
warfarin__mean_dose,967.9540229885058,266.6666666666667,1468.8735632183907,141
warfarin__mean_dose,1969.7931034482758,1468.8735632183907,2470.712643678161,228
warfarin__mean_dose,2971.6321839080456,2470.712643678161,3672.919540229885,444
warfarin__mean_dose,4374.206896551725,3672.919540229885,20303.44827586207,369
nefopam__mean_dose,30447.525773195877,8000.0,35327.422680412375,3522
nefopam__mean_dose,40207.31958762887,35327.422680412375,203195.87628865978,97
gabapentin__mean_dose,114698.5887519756,59154.92957746479,207271.35404282698,2298
gabapentin__mean_dose,299844.11933367833,207271.35404282698,447960.5437990406,2687
gabapentin__mean_dose,596076.9682644028,447960.5437990406,3762065.5412115194,354
imipramine__mean_dose,9613.24591579409,4827.586206896552,17270.30145003015,295
imipramine__mean_dose,24927.35698426621,17270.30145003015,196253.9745627981,302
omega_3_acid__mean_dose,438449.99484628753,132281.0810810811,4842572.062084258,96
hydrochlorothiazide__mean_dose,22688.362068965518,2500.0,37108.620689655174,321
hydrochlorothiazide__mean_dose,51528.879310344826,37108.620689655174,579310.3448275862,405
perindopril__mean_dose,1996.7746183206107,930.3435114503817,2966.2574427480918,755
perindopril__mean_dose,3935.7402671755726,2966.2574427480918,5971.654198473283,647
perindopril__mean_dose,8007.5681297709925,5971.654198473283,20320.0,155
isometheptene__mean_dose,322391.323953824,41035.35353535353,687830.6878306878,81
colesevelam__mean_dose,638902.8655699226,450721.1538461539,3345824.411134904,55
topiramate__mean_dose,26711.149805333276,11392.405063291139,624142.1947449768,297
dextropropoxyphene__mean_dose,32427.287975906933,8981.536628945802,212857.63529817303,9810
risperidone__mean_dose,1039.558187134503,263.1578947368421,12207.777777777777,77
venlafaxine__mean_dose,36424.170480549205,22500.0,56315.842595619484,668
venlafaxine__mean_dose,76207.51471068976,56315.842595619484,420333.4423014057,751
ibuprofen__mean_dose,194944.96849198762,1.951219512195122,246245.76251106008,2691
ibuprofen__mean_dose,297546.55653013254,246245.76251106008,348847.35054920503,980
ibuprofen__mean_dose,400148.1445682775,348847.35054920503,502749.7326064224,32582
ibuprofen__mean_dose,605351.3206445673,502749.7326064224,697692.7498788978,3859
ibuprofen__mean_dose,790034.1791132283,697692.7498788978,2052033.711982411,813
apixaban__mean_dose,4968.349858821984,1783.43949044586,7065.729857508701,123
apixaban__mean_dose,9163.109856195417,7065.729857508701,17319.58762886598,60
lercanidipine__mean_dose,9862.760038938239,5175.0972762645915,14976.573961854947,543
