BNF_Presentation_Code,BNF_Presentation,BNF_Product,BNF_Chemical_Substance,BNF_Subparagraph,BNF_Paragraph,BNF_Section,BNF_Chapter
010101000BBABA0,Langdales_Cinnamon Tab,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBADA0,Mylanta 11_Tab,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAEA0,Mylanta 11_Liq,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAFA0,Rennie Plus_Tab,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAIA0,Sab Simplex_Susp,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAJA0,Boots_Indigest Mix,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010A0AAAAAA,Alexitol Sod_Tab 360mg,Alexitol Sod,Alexitol Sodium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010A0AAABAB,Alexitol Sod_Tab 360mg               @gn,Alexitol Sod,Alexitol Sodium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010A0BBAAAA,Actal_Tab 360mg,Actal,Alexitol Sodium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010B0AAAAAA,Almasilate_Susp 500mg/5ml,Almasilate,Almasilate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010B0BBAAAA,Malinal_Susp 500mg/5ml,Malinal,Almasilate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAAAA,Alum Hydrox_Cap 475mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAACAC,Alum Hydrox_Oral Susp S/F,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAADAD,Alum Hydrox_Tab 475mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAFAF,Alum Hydrox_Tab 250mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAGAG,Alum Hydrox_Tab 375mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAHAH,Alum Hydrox_Tab 500mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAIAI,Alum Hydrox_Tab 400mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAJAJ,Alum Hydrox_Tab 300mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAKAK,Alum Hydrox_Tab 200mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAALAL,Alum Hydrox_Oral Susp,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAMAM,Alum Hydrox_Oral Susp 475mg/5ml,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0BBAAAA,Alu-Cap_Cap 475mg,Alu-Cap,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0BCAAAH,Sarpep_Tab 500mg,Sarpep,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0BDAAAC,Aludrox_Gel S/F,Aludrox (Gel/Liq),Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0BDABAC,Aludrox_Liq S/F,Aludrox (Gel/Liq),Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAAAAA,Alum Hydrox/Mag Trisil_Tab 200mg/500mg,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAABAB,Alum Hydrox/Mag Trisil_Tab 250mg/500mg,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAACAC,Gppe Tab_Maalox Conc,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAADAD,Gppe Susp_Maalox,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAAEAE,Gppe Sach_Maalox 10ml,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAAFAF,Gppe Tab_Maalox 800mg,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAAGAG,Gppe Susp_Maalox Tc S/F,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAAHAH,Gppe Susp_Gelusil,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAAIAI,Gppe Susp_Polyalk,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0AAAJAJ,Gppe Liq_Mucogel,Alum Hydrox + Mag,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0BCAAAH,Gelusil_Susp,Gelusil,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0BCABAB,Gelusil_Tab,Gelusil,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0BEAAA0,Birleys_Antacid Pdr,Birleys,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0BFAAA0,Aludrox_Tab,Aludrox (Tab),Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010D0BGAAAI,Polyalk_Susp,Polyalk,Aluminium Hydroxide With Magnesium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010E0AAAAAA,Hydrotalcite_Oral Susp 500mg/5ml,Hydrotalcite,Hydrotalcite,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010E0AAABAB,Hydrotalcite_Tab 500mg,Hydrotalcite,Hydrotalcite,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010E0AAACAC,Hydrotalcite_Tab 500mg               @gn,Hydrotalcite,Hydrotalcite,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010E0AAADAD,Hydrotalcite_Susp 500mg/5ml          @gn,Hydrotalcite,Hydrotalcite,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010E0AAAEAE,Hydrotalcite_Oral Susp 500mg/5ml S/F,Hydrotalcite,Hydrotalcite,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010E0BBAAAA,Altacite_Susp 500mg/5ml,Altacite,Hydrotalcite,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010E0BBABAB,Altacite_Tab 500mg,Altacite,Hydrotalcite,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAAAA,Mag Carb_Mix BPC,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAABAB,Mag Carb Arom_Mix,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAFAF,Mag Carb Co_Tab BPC,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAGAG,Mag Carb Co_Pdr BPC,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAHAH,Mag Carb_Tab 500mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAIAI,Mag Carb_Cap 500mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAJAJ,Mag Carb_Tab 600mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAKAK,Mag Carb_Tab 100mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAALAL,Mag Carb Co_Cap,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAMAM,Mag Carb_Tab 480mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAANAN,Mag Carb_Tab 300mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAPAP,Mag Carb_Mix Paed,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAQAQ,Mag Carb_Tab 200mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAARAR,Mag Carb_Heavy Cap 250mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAASAS,Mag Carb_Cap 250mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAATAT,Mag Carb_Heavy Cap 50mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAUAU,Mag Carb_Heavy Cap 500mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAVAV,Mag Carb_Cap 300mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAWAW,Mag Carb_Cap 1g,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAXAX,Mag Carb_Pdrs 256mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAYAY,Mag Carb_Pdrs 240mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AAAZAZ,Mag Carb_Heavy Cap 200mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AABABA,Mag Carb_Cap 600mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AABBBB,Mag Carb_Cap 420mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AABCBC,Mag Carb_Heavy Pdrs 400mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0AABDBD,Mag Carb_Cap 100mg,Mag Carb (Antacid),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0BBAAA0,Andrews_Antacid Tab,Andrews (Mag Carb),Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010F0BCAAAU,Magnesite_Cap 500mg,Magnesite,Magnesium Carbonate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0AAAAAA,Co-Magaldrox_Tab 400mg/400mg,Co-Magaldrox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0AAABAB,Co-Magaldrox_Susp 195mg/220mg/5ml S/F,Co-Magaldrox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0AAACAC,Co-Magaldrox_Susp 300mg/600mg/5ml S/F,Co-Magaldrox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0AAADAD,Co-Magaldrox_Tab 300mg/600mg,Co-Magaldrox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0AAAEAE,Co-Magaldrox_Sach 10ml 195/220mg/5ml S/F,Co-Magaldrox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0AAAFAF,Co-Magaldrox_Liq 195mg/220mg/5ml S/F,Co-Magaldrox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0AAAGAG,Co-Magaldrox_Oral Susp 200/175mg/5ml S/F,Co-Magaldrox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBAAAA,Maalox_Tab 800mg,Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBABAB,Maalox_Susp 195mg/220mg/5ml S/F,Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBACAC,Maalox TC_Susp 300mg/600mg/5ml S/F,Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBADAD,Maalox TC_Tab 300mg/600mg,Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBAEAE,Maalox_Sach 10ml 195mg/220mg/5ml S/F,Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBAFAD,Maalox Conc_Tab 300mg/600mg,Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBAGA0,Maalox_Sach 15ml S/F (Import),Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BBAHAG,Maalox_Oral Susp 175mg/200mg/5ml,Maalox,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BCAAAA,Mucogel_Tab 400mg/400mg,Mucogel,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BCABAB,Mucogel_Susp 195mg/220mg/5ml S/F,Mucogel,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010G0BCACAF,Mucogel_Liq 195mg/220mg/5ml S/F,Mucogel,Co-Magaldrox(Magnesium/Aluminium Hydrox),Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAABAB,Mag Ox_Cap 100mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAACAC,Mag Ox_Cap 160mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAADAD,Mag Ox_Cap 200mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAEAE,Mag Ox_Tab 100mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAFAF,Mag Ox_Light Pdr,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAHAH,Mag Ox_Cap 400mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAIAI,Mag Ox_Tab 200mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAJAJ,Mag Ox_Cap 10mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAKAK,Mag Ox_Tab 168mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAALAL,Mag Ox_Tab 160mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAMAM,Mag Ox_Cap 250mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAANAN,Mag Ox_Pdrs 200mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAPAP,Mag Ox_Pdrs 480mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAQAQ,Mag Ox_Tab 120mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAARAR,Mag Ox_Cap 80mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAASAS,Mag Ox_Cap 4mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAATAT,Mag Ox_Cap 320mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAUAU,Mag Ox_Cap 300mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAVAV,Mag Ox_Liq Spec 150mg/5ml,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAWAW,Mag Ox_Tab 300mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAXAX,Mag Ox_Tab 500mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAYAY,Mag Ox_Cap 500mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AAAZAZ,Mag Ox_Cap 60mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABABA,Mag Ox_Cap 150mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABBBB,Mag Ox_Tab 150mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABCBC,Mag Ox_Cap 644.8mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABDBD,Mag Ox_Cap 680mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABEBE,Mag Ox_Cap 140mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABFBF,Mag Ox_Cap 600mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABGBG,Mag Ox_Liq Spec 160mg/5ml,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010I0AABHBH,Mag Ox_Cap 241.8mg,Mag Ox,Magnesium Oxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
